Date,Open,High,Low,Close,Volume
1/4/2016,102.61,105.368,102,105.35,67649387
1/5/2016,105.75,105.85,102.41,102.71,55790992
1/6/2016,100.56,102.37,99.87,100.7,68457388
1/7/2016,98.68,100.13,96.43,96.45,81094428
1/8/2016,98.55,99.11,96.76,96.96,70798016
1/11/2016,98.97,99.06,97.34,98.53,49739377
1/12/2016,100.55,100.69,98.8399,99.96,49154227
1/13/2016,100.32,101.19,97.3,97.39,62439631
1/14/2016,97.96,100.48,95.74,99.52,63170127
1/15/2016,96.2,97.71,95.36,97.13,79833891
1/19/2016,98.41,98.65,95.5,96.66,53087747
1/20/2016,95.1,98.1897,93.42,96.79,72334416
1/21/2016,97.06,97.88,94.94,96.3,52161463
1/22/2016,98.63,101.46,98.37,101.42,65800467
1/25/2016,101.52,101.53,99.21,99.44,51794525
1/26/2016,99.93,100.88,98.07,99.99,75077002
1/27/2016,96.04,96.6289,93.34,93.42,133369674
1/28/2016,93.79,94.52,92.39,94.09,55678825
1/29/2016,94.79,97.34,94.35,97.34,64416504
2/1/2016,96.47,96.71,95.4,96.43,40943541
2/2/2016,95.42,96.04,94.28,94.48,37357215
2/3/2016,95,96.84,94.08,96.35,45964294
2/4/2016,95.86,97.33,95.19,96.6,46471652
2/5/2016,96.52,96.92,93.69,94.02,46418064
2/8/2016,93.13,95.7,93.04,95.01,54021375
2/9/2016,94.29,95.94,93.93,94.99,44331195
2/10/2016,95.92,96.35,94.1,94.27,42343601
2/11/2016,93.79,94.72,92.59,93.7,50074711
2/12/2016,94.19,94.5,93.01,93.99,40351381
2/16/2016,95.02,96.85,94.61,96.64,49057916
2/17/2016,96.67,98.21,96.15,98.12,44863243
2/18/2016,98.84,98.89,96.091,96.26,39020983
2/19/2016,96,96.7599,95.8,96.04,35374173
2/22/2016,96.31,96.9,95.92,96.88,34280758
2/23/2016,96.4,96.5,94.55,94.69,31942633
2/24/2016,93.98,96.38,93.32,96.1,36255745
2/25/2016,96.05,96.76,95.25,96.76,27582659
2/26/2016,97.2,98.0237,96.58,96.91,28991131
2/29/2016,96.86,98.23,96.65,96.69,35216277
3/1/2016,97.65,100.77,97.42,100.53,50407147
3/2/2016,100.51,100.89,99.64,100.75,33169560
3/3/2016,100.58,101.7099,100.45,101.5,36955742
3/4/2016,102.37,103.75,101.37,103.01,46055100
3/7/2016,102.39,102.83,100.96,101.87,35915810
3/8/2016,100.78,101.76,100.4,101.03,31182194
3/9/2016,101.31,101.58,100.27,101.12,27201683
3/10/2016,101.41,102.24,100.15,101.17,33513577
3/11/2016,102.24,102.28,101.5,102.26,27408237
3/14/2016,101.91,102.91,101.78,102.52,25076062
3/15/2016,103.96,105.18,103.85,104.58,40067734
3/16/2016,104.61,106.31,104.59,105.97,38303493
3/17/2016,105.52,106.47,104.96,105.8,34420705
3/18/2016,106.34,106.5,105.19,105.92,44205171
3/21/2016,105.93,107.65,105.1401,105.91,35502678
3/22/2016,105.25,107.29,105.21,106.72,32444375
3/23/2016,106.48,107.07,105.9,106.13,25703495
3/24/2016,105.47,106.25,104.89,105.67,26132955
3/28/2016,106,106.19,105.06,105.19,19411372
3/29/2016,104.89,107.79,104.88,107.68,31190083
3/30/2016,108.65,110.42,108.6,109.56,45601149
3/31/2016,109.72,109.9,108.88,108.99,25888449
4/1/2016,108.78,110,108.2,109.99,25873950
4/4/2016,110.42,112.19,110.27,111.12,37356204
4/5/2016,109.51,110.73,109.42,109.81,26578652
4/6/2016,110.23,110.98,109.2,110.96,26404077
4/7/2016,109.95,110.42,108.121,108.54,31801870
4/8/2016,108.91,109.77,108.17,108.66,23581740
4/11/2016,108.97,110.61,108.83,109.02,29407518
4/12/2016,109.34,110.5,108.66,110.44,27232325
4/13/2016,110.8,112.34,110.8,112.04,33257316
4/14/2016,111.62,112.39,111.33,112.1,25473923
4/15/2016,112.11,112.3,109.73,109.85,46938969
4/18/2016,108.89,108.95,106.94,107.48,60821461
4/19/2016,107.88,108,106.23,106.91,32384879
4/20/2016,106.64,108.09,106.06,107.13,30611030
4/21/2016,106.93,106.93,105.52,105.97,31552525
4/22/2016,105.01,106.48,104.62,105.68,33683121
4/25/2016,105,105.65,104.51,105.08,28031588
4/26/2016,103.91,105.3,103.91,104.35,56016165
4/27/2016,96,98.71,95.68,97.82,114602142
4/28/2016,97.61,97.88,94.25,94.83,82242690
4/29/2016,93.99,94.72,92.51,93.74,68531478
5/2/2016,93.965,94.08,92.4,93.64,48160104
5/3/2016,94.2,95.74,93.68,95.18,56831277
5/4/2016,95.2,95.9,93.82,94.19,41025475
5/5/2016,94,94.07,92.68,93.24,35890500
5/6/2016,93.37,93.45,91.85,92.72,43699886
5/9/2016,93,93.77,92.59,92.79,32936436
5/10/2016,93.33,93.57,92.11,93.42,33686836
5/11/2016,93.48,93.57,92.46,92.51,28719109
5/12/2016,92.72,92.78,89.47,90.34,76314690
5/13/2016,90,91.67,90,90.52,44392765
5/16/2016,92.39,94.39,91.65,93.88,61259756
5/17/2016,94.55,94.7,93.01,93.49,46916939
5/18/2016,94.16,95.21,93.89,94.56,42062391
5/19/2016,94.64,94.64,93.57,94.2,30442100
5/20/2016,94.64,95.43,94.52,95.22,32025968
5/23/2016,95.87,97.19,95.67,96.43,38018643
5/24/2016,97.22,98.09,96.84,97.9,35140174
5/25/2016,98.67,99.74,98.11,99.62,38642108
5/26/2016,99.68,100.73,98.64,100.41,56331159
5/27/2016,99.44,100.47,99.245,100.35,36341240
5/31/2016,99.6,100.4,98.82,99.86,42307212
6/1/2016,99.02,99.54,98.33,98.46,29173285
6/2/2016,97.6,97.84,96.63,97.72,40191600
6/3/2016,97.79,98.27,97.45,97.92,28504888
6/6/2016,97.99,101.89,97.55,98.63,23292504
6/7/2016,99.25,99.87,98.96,99.03,22409450
6/8/2016,99.02,99.56,98.68,98.94,20848131
6/9/2016,98.5,99.99,98.46,99.65,26601354
6/10/2016,98.53,99.3457,98.48,98.83,31712936
6/13/2016,98.69,99.12,97.1,97.34,38020494
6/14/2016,97.32,98.475,96.75,97.46,31931944
6/15/2016,97.82,98.41,97.03,97.14,29445227
6/16/2016,96.45,97.75,96.07,97.55,31326815
6/17/2016,96.62,96.65,95.3,95.33,61008219
6/20/2016,96,96.57,95.03,95.1,34411901
6/21/2016,94.94,96.35,94.676,95.91,35546358
6/22/2016,96.25,96.89,95.35,95.55,29219122
6/23/2016,95.94,96.29,95.25,96.1,32240187
6/24/2016,92.91,94.655,92.65,93.4,75311356
6/27/2016,93,93.05,91.5,92.04,46622188
6/28/2016,92.9,93.66,92.14,93.59,40444914
6/29/2016,93.97,94.55,93.63,94.4,36531006
6/30/2016,94.44,95.77,94.3,95.6,35836356
7/1/2016,95.49,96.465,95.33,95.89,26026540
7/5/2016,95.39,95.4,94.46,94.99,27705210
7/6/2016,94.6,95.66,94.37,95.53,30949090
7/7/2016,95.7,96.5,95.62,95.94,25139558
7/8/2016,96.49,96.89,96.05,96.68,28912103
7/11/2016,96.75,97.65,96.73,96.98,23794945
7/12/2016,97.17,97.7,97.12,97.42,24167463
7/13/2016,97.41,97.67,96.84,96.87,25892171
7/14/2016,97.39,98.99,97.32,98.79,38918997
7/15/2016,98.92,99.3,98.5,98.78,30136990
7/18/2016,98.7,100.13,98.6,99.83,36493867
7/19/2016,99.56,100,99.34,99.87,23779924
7/20/2016,100,100.46,99.735,99.96,26275968
7/21/2016,99.83,101,99.13,99.43,32702028
7/22/2016,99.26,99.3,98.31,98.66,28313669
7/25/2016,98.25,98.84,96.92,97.34,40382921
7/26/2016,96.82,97.97,96.42,96.67,56239822
7/27/2016,104.265,104.35,102.75,102.95,92344820
7/28/2016,102.83,104.45,102.82,104.34,39869839
7/29/2016,104.19,104.55,103.68,104.21,27733688
8/1/2016,104.41,106.15,104.41,106.05,38167871
8/2/2016,106.05,106.07,104,104.48,33816556
8/3/2016,104.81,105.84,104.77,105.79,30202641
8/4/2016,105.58,106,105.28,105.87,27408650
8/5/2016,106.27,107.65,106.18,107.48,40553402
8/8/2016,107.52,108.37,107.16,108.37,28037220
8/9/2016,108.23,108.94,108.01,108.81,26315204
8/10/2016,108.71,108.9,107.76,108,24008505
8/11/2016,108.52,108.93,107.85,107.93,27484506
8/12/2016,107.78,108.44,107.78,108.18,18660434
8/15/2016,108.14,109.54,108.08,109.48,25868209
8/16/2016,109.63,110.23,109.21,109.38,33794448
8/17/2016,109.1,109.37,108.34,109.22,25355976
8/18/2016,109.23,109.6,109.02,109.08,21984703
8/19/2016,108.77,109.69,108.36,109.36,25368072
8/22/2016,108.86,109.1,107.85,108.51,25820230
8/23/2016,108.59,109.32,108.53,108.85,21257669
8/24/2016,108.565,108.75,107.68,108.03,23675081
8/25/2016,107.39,107.88,106.68,107.57,25086248
8/26/2016,107.41,107.95,106.31,106.94,27766291
8/29/2016,106.62,107.44,106.29,106.82,24970300
8/30/2016,105.8,106.5,105.5,106,24863945
8/31/2016,105.66,106.5699,105.64,106.1,29662406
9/1/2016,106.14,106.8,105.62,106.73,26701523
9/2/2016,107.7,108,106.82,107.73,26802450
9/6/2016,107.9,108.3,107.51,107.7,26880391
9/7/2016,107.83,108.76,107.07,108.36,42364328
9/8/2016,107.25,107.27,105.24,105.52,53002026
9/9/2016,104.64,105.72,103.13,103.13,46556984
9/12/2016,102.65,105.72,102.53,105.44,45292770
9/13/2016,107.51,108.79,107.24,107.95,62176190
9/14/2016,108.73,113.03,108.6,111.77,112340318
9/15/2016,113.86,115.73,113.49,115.57,90613177
9/16/2016,115.12,116.13,114.04,114.92,79886911
9/19/2016,115.19,116.18,113.25,113.58,47023046
9/20/2016,113.05,114.12,112.51,113.57,34514269
9/21/2016,113.85,113.989,112.441,113.55,36003185
9/22/2016,114.35,114.94,114,114.62,31073984
9/23/2016,114.42,114.79,111.55,112.71,52481151
9/26/2016,111.64,113.39,111.55,112.88,29869442
9/27/2016,113,113.18,112.34,113.09,24607412
9/28/2016,113.69,114.64,113.43,113.95,29641085
9/29/2016,113.16,113.8,111.8,112.18,35886990
9/30/2016,112.46,113.37,111.8,113.05,36379106
10/3/2016,112.71,113.05,112.28,112.52,21701760
10/4/2016,113.06,114.31,112.63,113,29736835
10/5/2016,113.4,113.66,112.69,113.05,21453089
10/6/2016,113.7,114.34,113.13,113.89,28779313
10/7/2016,114.31,114.56,113.51,114.06,24358443
10/10/2016,115.02,116.75,114.72,116.05,36235956
10/11/2016,117.7,118.69,116.2,116.3,64041043
10/12/2016,117.35,117.98,116.75,117.34,37586787
10/13/2016,116.79,117.44,115.72,116.98,35192406
10/14/2016,117.88,118.17,117.13,117.63,35652191
10/17/2016,117.33,117.84,116.78,117.55,23624896
10/18/2016,118.18,118.21,117.45,117.47,24553478
