Date,Open,High,Low,Close,Volume
1/2/2015,111.39,111.44,107.35,109.33,53204626
1/5/2015,108.29,108.65,105.41,106.25,64285491
1/6/2015,106.54,107.43,104.63,106.26,65797116
1/7/2015,107.2,108.2,106.695,107.75,40105934
1/8/2015,109.23,112.15,108.7,111.89,59364547
1/9/2015,112.67,113.25,110.21,112.01,53315099
1/12/2015,112.6,112.63,108.8,109.25,49650790
1/13/2015,111.43,112.8,108.91,110.22,67091928
1/14/2015,109.04,110.49,108.5,109.8,48956588
1/15/2015,110,110.06,106.66,106.82,60013996
1/16/2015,107.03,107.58,105.2,105.99,78513345
1/20/2015,107.84,108.9667,106.5,108.72,49899907
1/21/2015,108.95,111.06,108.27,109.55,48575897
1/22/2015,110.26,112.47,109.72,112.4,53796409
1/23/2015,112.3,113.75,111.53,112.98,46464828
1/26/2015,113.74,114.3626,112.8,113.1,55614979
1/27/2015,112.42,112.48,109.03,109.14,95568749
1/28/2015,117.625,118.12,115.31,115.31,146477063
1/29/2015,116.32,119.19,115.56,118.9,84436432
1/30/2015,118.4,120,116.85,117.16,83745461
2/2/2015,118.05,119.17,116.08,118.63,62739100
2/3/2015,118.5,119.09,117.61,118.65,51915749
2/4/2015,118.5,120.51,118.309,119.56,70149743
2/5/2015,120.02,120.23,119.25,119.94,42246245
2/6/2015,120.02,120.25,118.45,118.93,43706567
2/9/2015,118.55,119.84,118.43,119.72,38889797
2/10/2015,120.17,122.15,120.16,122.02,62008506
2/11/2015,122.77,124.92,122.5,124.88,73561797
2/12/2015,126.06,127.48,125.57,126.46,74474466
2/13/2015,127.28,127.28,125.65,127.08,54272219
2/17/2015,127.49,128.88,126.92,127.83,63152405
2/18/2015,127.625,128.78,127.45,128.715,44891737
2/19/2015,128.48,129.03,128.33,128.45,37362381
2/20/2015,128.62,129.5,128.05,129.495,48948419
2/23/2015,130.02,133,129.66,133,70974110
2/24/2015,132.94,133.6,131.17,132.17,69228130
2/25/2015,131.56,131.6,128.15,128.79,74711746
2/26/2015,128.785,130.87,126.61,130.415,91287529
2/27/2015,130,130.57,128.24,128.46,62014847
3/2/2015,129.25,130.28,128.3,129.09,48096663
3/3/2015,128.96,129.52,128.09,129.36,37816283
3/4/2015,129.1,129.56,128.32,128.54,31666340
3/5/2015,128.58,128.75,125.76,126.41,56517146
3/6/2015,128.4,129.37,126.26,126.6,72842060
3/9/2015,127.96,129.57,125.06,127.14,88528487
3/10/2015,126.41,127.22,123.8,124.51,68856582
3/11/2015,124.75,124.77,122.11,122.24,68938974
3/12/2015,122.31,124.9,121.63,124.45,48362719
3/13/2015,124.4,125.3951,122.58,123.59,51827283
3/16/2015,123.88,124.95,122.87,124.95,35874300
3/17/2015,125.9,127.32,125.65,127.04,51023104
3/18/2015,127,129.16,126.37,128.47,65270945
3/19/2015,128.75,129.2451,127.4,127.495,45809490
3/20/2015,128.25,128.4,125.16,125.9,68695136
3/23/2015,127.12,127.85,126.52,127.21,37709674
3/24/2015,127.23,128.04,126.56,126.69,32842304
3/25/2015,126.54,126.82,123.38,123.38,51655177
3/26/2015,122.76,124.88,122.6,124.24,47572869
3/27/2015,124.57,124.7,122.91,123.25,39546151
3/30/2015,124.05,126.4,124,126.37,47099670
3/31/2015,126.09,126.49,124.355,124.43,42090553
4/1/2015,124.82,125.12,123.1,124.25,40621437
4/2/2015,125.03,125.56,124.19,125.32,32220131
4/6/2015,124.47,127.51,124.33,127.35,37193975
4/7/2015,127.64,128.1218,125.98,126.01,35012268
4/8/2015,125.85,126.4,124.97,125.6,37329243
4/9/2015,125.85,126.58,124.66,126.56,32483974
4/10/2015,125.95,127.21,125.26,127.1,40187953
4/13/2015,128.37,128.57,126.61,126.85,36365123
4/14/2015,127,127.29,125.91,126.3,25524593
4/15/2015,126.41,127.13,126.01,126.78,28970419
4/16/2015,126.28,127.1,126.11,126.17,28368987
4/17/2015,125.55,126.14,124.46,124.75,51957046
4/20/2015,125.57,128.12,125.17,127.6,47054310
4/21/2015,128.1,128.2,126.67,126.91,32435057
4/22/2015,126.99,128.87,126.32,128.62,37654505
4/23/2015,128.3,130.42,128.14,129.67,45770902
4/24/2015,130.49,130.63,129.23,130.28,44525905
4/27/2015,132.31,133.13,131.15,132.65,96954207
4/28/2015,134.455,134.54,129.57,130.56,118923970
4/29/2015,130.16,131.59,128.3,128.64,63386083
4/30/2015,127.5,127.88,124.58,125.15,83195423
5/1/2015,126.1,130.13,125.3,128.95,58512638
5/4/2015,129.5,130.57,128.26,128.7,50988278
5/5/2015,128.15,128.4498,125.78,125.8,49271416
5/6/2015,126.56,126.75,123.36,125.01,72141010
5/7/2015,124.77,126.08,124.02,125.26,43940895
5/8/2015,126.68,127.62,126.11,127.62,55550382
5/11/2015,127.39,127.56,125.625,126.32,42035757
5/12/2015,125.6,126.88,124.82,125.865,48160032
5/13/2015,126.15,127.19,125.87,126.01,34694235
5/14/2015,127.41,128.95,127.16,128.95,45203456
5/15/2015,129.07,129.49,128.21,128.77,38208034
5/18/2015,128.38,130.72,128.36,130.19,50882918
5/19/2015,130.69,130.88,129.64,130.07,44633240
5/20/2015,130,130.98,129.34,130.06,36454932
5/21/2015,130.07,131.63,129.83,131.39,39730364
5/22/2015,131.6,132.97,131.4,132.54,45595972
5/26/2015,132.6,132.91,129.12,129.62,70697560
5/27/2015,130.34,132.26,130.05,132.045,45833246
5/28/2015,131.86,131.95,131.1,131.78,30733309
5/29/2015,131.23,131.45,129.9,130.28,50884452
6/1/2015,131.2,131.39,130.05,130.535,32112797
6/2/2015,129.86,130.655,129.32,129.96,33667627
6/3/2015,130.66,130.94,129.9,130.12,30983542
6/4/2015,129.58,130.58,128.91,129.36,38450118
6/5/2015,129.5,129.69,128.36,128.65,35626800
6/8/2015,128.9,129.21,126.83,127.8,52674786
6/9/2015,126.7,128.08,125.62,127.42,56075420
6/10/2015,127.92,129.34,127.85,128.88,39087250
6/11/2015,129.18,130.18,128.475,128.59,35390887
